Name,Age,Gender,Date of Birth,Location,Current Savings,Debt Amount,Job Type,Education Level,Number of Logins,Satisfaction Rating,Product Usage,Social Media Usage,ISA at 18
Laurie Navarro,17,Male,21/10/2005,,53,3744,Full-time,Apprenticeships,27,2,Frequent,Frequent,All withdrawn
Amanda Russell,16,Male,11/08/2005,London,961,3921,Part-time,Apprenticeships,25,1,Occasional,Frequent,All withdrawn
Mark Bell,16,Male,21/07/2006,,571,867,Student,GCSEs,30,2,Rare,Frequent,All withdrawn
Cheryl Cochran,16,Female,15/11/2005,,229,4036,Unemployed,BTECs,33,1,Rare,Frequent,All withdrawn
Christopher Walsh,16,Female,23/02/2007,,233,4570,Part-time,GCSEs,47,3,Rare,Frequent,All withdrawn
Karen Watson,16,Female,24/09/2005,,788,738,Student,Other Qualifications,33,3,Occasional,Frequent,All withdrawn
Patricia Jones,16,Female,02/11/2006,,766,3280,Full-time,GCSEs,39,1,Rare,Frequent,All withdrawn
Trevor Delacruz,17,Female,03/12/2006,,555,4553,Full-time,A-Levels,40,1,Occasional,Frequent,All withdrawn
Christopher Russell,17,Male,29/10/2006,,795,2002,Full-time,Other Qualifications,21,2,Rare,Frequent,All withdrawn
Tammy Ramos,16,Male,15/07/2005,,48,4268,Part-time,GCSEs,35,3,Occasional,Frequent,All withdrawn
Mr. Jonathan Byrd,16,Male,04/06/2006,,972,3570,Full-time,Other Qualifications,39,1,Rare,Frequent,All withdrawn
Jason Blair,16,Male,24/02/2006,,390,2190,Student,Apprenticeships,30,2,Rare,Frequent,All withdrawn
Ashlee Sanders,16,Female,14/03/2007,,256,3989,Part-time,BTECs,32,1,Rare,Frequent,All withdrawn
Michael Taylor,17,Female,18/06/2005,,544,2980,Unemployed,A-Levels,32,2,Rare,Frequent,All withdrawn
Jose Rodriguez,16,Female,26/08/2006,,651,2057,Unemployed,Other Qualifications,47,2,Occasional,Occasional,All withdrawn
Andrea White,16,Female,05/04/2006,,523,3929,Full-time,Other Qualifications,37,3,Rare,Frequent,All withdrawn
James Tapia,16,Male,12/11/2005,,885,1526,Full-time,Other Qualifications,46,1,Frequent,Frequent,All withdrawn
Alexandra Rogers,16,Male,30/03/2007,Coventry ,492,4951,Part-time,GCSEs,47,2,Rare,Frequent,All withdrawn
Christopher Austin,16,Male,23/12/2005,,427,3809,Unemployed,Apprenticeships,38,3,Frequent,Frequent,All withdrawn
Mrs. Natalie Davis,17,Female,14/09/2005,,558,3775,Part-time,BTECs,20,1,Rare,Frequent,All withdrawn
Jeanette Thomas,16,Male,14/02/2007,,508,1579,Unemployed,Apprenticeships,45,3,Occasional,Frequent,All withdrawn
Brian Brown,16,Female,18/08/2005,,327,1723,Student,BTECs,47,2,Rare,Frequent,All withdrawn
